Age,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Injury,Days,Games missed,Position_DF,Position_FW,Position_MF,PreferredFoot_ Both,PreferredFoot_ Left,PreferredFoot_ Right
20,2,38,37,3181,35.3,14,11,25,12,2,3,6,0,11.2,9.1,8.5,17.6,179,109,520,0.4,0.31,0.71,0.34,0.65,0.32,0.24,0.56,0.26,0.5,0,0.0,0.0,0,1,0,0,1,0
21,1,12,12,1033,11.5,4,5,9,2,2,2,1,0,4.2,2.6,3.7,6.3,53,37,151,0.35,0.44,0.78,0.17,0.61,0.37,0.32,0.68,0.23,0.55,1,18.0,7.0,0,1,0,0,1,0
19,11,42,42,3748,41.6,1,6,7,1,0,0,8,0,1.103444976076555,1.0722488038277511,1.2692822966507178,2.340478468899521,0,0,0,0.02,0.14,0.17,0.02,0.17,0.0580956937799043,0.0798373205741626,0.1379234449760765,0.0567464114832535,0.1366124401913875,0,0.0,0.0,1,0,0,0,0,1
20,3,20,19,1699,9.4,1,2,3,1,0,0,1,0,2.20688995215311,2.1444976076555022,2.5385645933014356,4.680956937799042,0,0,0,0.035,0.205,0.24,0.035,0.24,0.0580956937799043,0.0798373205741626,0.1379234449760765,0.0567464114832535,0.1366124401913875,0,0.0,0.0,1,0,0,0,0,1
20,7,20,19,1699,9.4,1,2,3,1,0,0,1,0,2.20688995215311,2.1444976076555022,2.5385645933014356,4.680956937799042,0,0,0,0.035,0.205,0.24,0.035,0.24,0.0580956937799043,0.0798373205741626,0.1379234449760765,0.0567464114832535,0.1366124401913875,0,0.0,0.0,1,0,0,0,0,1
21,1,46,46,4140,46.0,1,2,3,1,0,0,6,0,2.2,2.2,0.8,3.0,47,162,6,0.02,0.04,0.07,0.02,0.07,0.05,0.02,0.06,0.05,0.06,0,0.0,0.0,1,0,0,0,0,1
22,16,36,36,3191,35.5,0,0,0,0,0,0,5,1,0.5,0.5,0.9,1.4,50,149,38,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,0,0.0,0.0,1,0,0,0,0,1
23,5,32,32,2880,32.0,0,0,0,0,0,0,3,0,1.0,1.0,1.3,2.3,38,124,4,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,0,0.0,0.0,1,0,0,0,0,1
24,2,38,36,3055,33.9,2,5,7,2,0,0,5,0,1.3,1.3,3.2,4.5,64,249,124,0.06,0.15,0.21,0.06,0.21,0.04,0.09,0.13,0.04,0.13,0,0.0,0.0,1,0,0,0,0,1
25,1,12,11,948,10.5,1,0,1,1,0,0,2,0,0.5,0.5,0.9,1.4,15,54,47,0.09,0.0,0.09,0.09,0.09,0.05,0.09,0.13,0.05,0.13,0,0.0,0.0,1,0,0,0,0,1
17,9,14,8,680,7.6,0,3,3,0,0,0,0,0,4.881318681318681,4.480586080586081,2.6904761904761907,7.167399267399268,0,0,0,0.0,0.4,0.4,0.0,0.4,0.3372283272283272,0.1817460317460317,0.519010989010989,0.3187057387057387,0.5006105006105006,1,6.0,2.0,0,1,0,0,1,0
18,8,48,48,4146,23.0,4,2,6,4,0,0,2,0,9.762637362637362,8.961172161172161,5.380952380952381,14.334798534798535,0,0,0,0.09,0.04,0.13,0.09,0.13,0.3372283272283272,0.1817460317460317,0.519010989010989,0.3187057387057387,0.5006105006105006,2,120.0,5.0,0,1,0,0,1,0
19,5,31,29,2611,29.0,8,10,18,7,1,1,2,0,5.4,4.6,11.7,16.3,117,205,164,0.28,0.34,0.62,0.24,0.59,0.19,0.4,0.59,0.16,0.56,1,9.0,1.0,0,1,0,0,1,0
20,6,62,58,5054,28.1,8,12,20,8,0,0,6,0,6.0,6.0,13.0,19.0,224,438,242,0.14,0.21,0.36,0.14,0.36,0.11,0.23,0.34,0.11,0.34,2,31.0,5.0,0,1,0,0,1,0
21,2,105,60,5500,6.1,5,10,15,5,0,0,0,0,4.5,4.5,12.0,16.5,115,425,335,0.05,0.10500000000000001,0.155,0.05,0.155,0.075,0.185,0.26,0.075,0.26,10,160.0,32.0,0,1,0,0,1,0
21,8,105,60,5500,6.1,5,10,15,5,0,0,0,0,4.5,4.5,12.0,16.5,115,425,335,0.05,0.10500000000000001,0.155,0.05,0.155,0.075,0.185,0.26,0.075,0.26,10,160.0,32.0,0,1,0,0,1,0
22,5,36,32,2785,30.9,7,4,11,7,0,0,4,0,4.8,4.8,6.3,11.1,57,224,146,0.23,0.13,0.36,0.23,0.36,0.15,0.2,0.36,0.15,0.36,0,0.0,0.0,0,1,0,0,1,0
23,2,37,37,3127,34.7,15,7,22,15,0,0,4,0,10.0,10.0,8.1,18.1,83,266,193,0.43,0.2,0.63,0.43,0.63,0.29,0.23,0.52,0.29,0.52,0,0.0,0.0,0,1,0,0,1,0
24,1,10,10,876,9.7,3,1,4,1,2,2,1,0,2.7,1.1,0.8,1.9,25,57,53,0.31,0.1,0.41,0.1,0.21,0.27,0.08,0.35,0.11,0.19,1,19.0,3.0,0,1,0,0,1,0
18,8,42,18,1989,7.400000000000001,9,0,9,9,0,0,3,0,6.6000000000000005,6.6000000000000005,0.30000000000000004,6.8999999999999995,93,36,195,0.41,0.0,0.41,0.41,0.41,0.29,0.01,0.31,0.29,0.31,3,188.0,40.0,0,1,0,0,0,1
19,8,28,14,1178,6.5,4,2,6,4,0,0,0,0,6.6,6.6,3.6,10.2,46,16,124,0.31,0.15,0.46,0.31,0.46,0.5,0.27,0.78,0.5,0.78,2,9.0,2.0,0,1,0,0,0,1
20,5,29,21,1860,20.7,6,6,12,5,1,1,3,1,7.3,6.6,4.3,11.0,79,37,207,0.29,0.29,0.58,0.24,0.53,0.35,0.21,0.56,0.32,0.53,0,0.0,0.0,0,1,0,0,0,1
21,2,36,34,2789,31.0,15,5,20,15,0,0,3,0,9.3,9.3,9.1,18.4,124,94,350,0.48,0.16,0.65,0.48,0.65,0.3,0.29,0.59,0.3,0.59,1,18.0,3.0,0,1,0,0,0,1
22,1,11,10,799,8.9,1,2,3,1,0,0,1,0,1.2,1.2,1.6,2.8,49,29,134,0.11,0.23,0.34,0.11,0.34,0.14,0.18,0.32,0.14,0.32,1,20.0,6.0,0,1,0,0,0,1
18,11,1,0,9,0.1,0,0,0,0,0,0,0,0,1.103444976076555,1.0722488038277511,1.2692822966507178,2.340478468899521,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0580956937799043,0.0798373205741626,0.1379234449760765,0.0567464114832535,0.1366124401913875,0,0.0,0.0,1,0,0,0,1,0
19,19,2,1,174,0.95,0,0,0,0,0,0,1,0,1.103444976076555,1.0722488038277511,1.2692822966507178,2.340478468899521,0,5,0,0.0,0.0,0.0,0.0,0.0,0.02904784688995215,0.0399186602870813,0.06896172248803825,0.02837320574162675,0.06830622009569375,0,0.0,0.0,1,0,0,0,1,0
19,1,2,1,174,0.95,0,0,0,0,0,0,1,0,1.103444976076555,1.0722488038277511,1.2692822966507178,2.340478468899521,0,5,0,0.0,0.0,0.0,0.0,0.0,0.02904784688995215,0.0399186602870813,0.06896172248803825,0.02837320574162675,0.06830622009569375,0,0.0,0.0,1,0,0,0,1,0
