Name,Season,Injury,from,until,Days,Games missed
Maguire,20/21,Ankle injury,"May 9, 2021","Jun 13, 2021",35 days,9
Maguire,18/19,Foot injury,"Jan 20, 2019","Jan 29, 2019",9 days,-
Maguire,18/19,Knee injury,"Nov 3, 2018","Dec 8, 2018",35 days,9
Lindelöf,22/23,Back problems,"Aug 7, 2022","Aug 31, 2022",24 days,4
Lindelöf,21/22,Ill,"Jan 31, 2022","Feb 7, 2022",7 days,1
Lindelöf,21/22,Corona virus,"Dec 26, 2021","Jan 5, 2022",10 days,3
Lindelöf,21/22,heart problems,"Dec 11, 2021","Dec 21, 2021",10 days,1
Lindelöf,20/21,Back injury,"Dec 27, 2020","Jan 6, 2021",10 days,3
Lindelöf,19/20,Back injury,"Jul 5, 2020","Jul 8, 2020",3 days,-
Lindelöf,19/20,Ill,"Jan 20, 2020","Jan 25, 2020",5 days,1
Lindelöf,19/20,Back injury,"Nov 3, 2019","Nov 9, 2019",6 days,1
Lindelöf,18/19,Groin strain,"Nov 25, 2018","Dec 15, 2018",20 days,5
Evans,23/24,Hamstring strain,"Nov 8, 2023",-,19 days,3
Evans,22/23,Calf injury,"Dec 10, 2022","May 2, 2023",143 days,26
Evans,22/23,Calf problems,"Oct 10, 2022","Nov 6, 2022",27 days,5
Evans,21/22,Hamstring injury,"Dec 12, 2021","Mar 31, 2022",109 days,21
Evans,21/22,Foot injury,"Aug 1, 2021","Sep 10, 2021",40 days,7
Evans,20/21,Muscle injury,"May 6, 2021","May 12, 2021",6 days,2
Evans,20/21,Knock,"Jan 28, 2021","Jan 29, 2021",1 days,-
Evans,20/21,Back injury,"Oct 26, 2020","Nov 7, 2020",12 days,3
Evans,20/21,Knock,"Oct 15, 2020","Oct 17, 2020",2 days,-
Evans,20/21,Hamstring strain,"Sep 10, 2020","Sep 26, 2020",16 days,3
Evans,19/20,Hamstring strain,"Nov 24, 2019","Nov 30, 2019",6 days,-
Evans,19/20,Hip injury,"Mar 31, 2019","Apr 11, 2019",11 days,1
Evans,18/19,Toe injury,"Jan 8, 2019","Jan 18, 2019",10 days,1
Evans,18/19,Ill,"Dec 27, 2018","Dec 31, 2018",4 days,1
Evans,18/19,Knock,"Dec 2, 2018","Dec 7, 2018",5 days,1
Evans,18/19,Knock,"Jul 28, 2018","Aug 9, 2018",12 days,-
Evans,17/18,Thigh problems,"Aug 1, 2017","Sep 1, 2017",31 days,5
Evans,16/17,Calf strain,"Jan 2, 2017","Feb 11, 2017",40 days,7
Evans,16/17,Calf injury,"Dec 11, 2016","Dec 25, 2016",14 days,3
Evans,14/15,Bruised back,"May 12, 2015","May 24, 2015",12 days,2
Evans,14/15,Sciatica problems,"Apr 27, 2015","May 9, 2015",12 days,2
Evans,14/15,Ankle injury,"Sep 22, 2014","Dec 8, 2014",77 days,14
Evans,13/14,Calf injury,"Feb 2, 2014","Apr 15, 2014",72 days,15
Shaw,23/24,Muscle injury,"Aug 23, 2023","Nov 23, 2023",92 days,16
Shaw,22/23,unknown injury,"Apr 6, 2023","Apr 19, 2023",13 days,3
Shaw,21/22,Leg injury,"Apr 2, 2022","May 13, 2022",41 days,8
Shaw,21/22,Corona virus,"Mar 2, 2022","Mar 16, 2022",14 days,3
Shaw,21/22,Hamstring injury,"Jan 18, 2022","Jan 31, 2022",13 days,2
Shaw,21/22,Head injury,"Nov 20, 2021","Dec 7, 2021",17 days,5
Shaw,20/21,Hamstring injury,"Nov 7, 2020","Dec 7, 2020",30 days,9
Shaw,20/21,Ankle injury,"Jul 14, 2020","Sep 11, 2020",59 days,9
Shaw,19/20,Ill,"Jan 3, 2020","Jan 10, 2020",7 days,2
Shaw,19/20,Muscle injury,"Oct 18, 2019","Nov 27, 2019",40 days,10
Shaw,19/20,Hamstring injury,"Aug 24, 2019","Oct 7, 2019",44 days,11
Shaw,18/19,bruise,"Mar 18, 2019","Mar 29, 2019",11 days,2
Shaw,18/19,bruise,"Dec 2, 2018","Dec 21, 2018",19 days,4
Shaw,18/19,Ankle injury,"Oct 7, 2018","Oct 19, 2018",12 days,2
Shaw,18/19,concussion,"Sep 8, 2018","Sep 19, 2018",11 days,3
Shaw,16/17,Foot injury,"Apr 30, 2017","Aug 20, 2017",112 days,13
Shaw,16/17,Groin injury,"Oct 30, 2016","Jan 2, 2017",64 days,17
Shaw,15/16,Tibia and fibula fracture,"Sep 16, 2015","Jun 30, 2016",288 days,64
Shaw,14/15,Facial injury,"May 11, 2015","May 21, 2015",10 days,1
Shaw,14/15,Hamstring injury,"Mar 9, 2015","Apr 16, 2015",38 days,7
Shaw,14/15,Ankle injury,"Nov 24, 2014","Jan 1, 2015",38 days,11
Shaw,14/15,Hamstring injury,"Aug 7, 2014","Sep 11, 2014",35 days,12
Malacia,23/24,unknown injury,"Jul 18, 2023",-,132 days,19
Malacia,21/22,Hamstring injury,"May 12, 2022","May 24, 2022",12 days,1
Malacia,21/22,minor knock,"Mar 16, 2022","Mar 19, 2022",3 days,1
Malacia,21/22,Rest,"Dec 8, 2021","Dec 10, 2021",2 days,1
Malacia,20/21,Ill,"Mar 26, 2021","Mar 28, 2021",2 days,2
Malacia,20/21,Knock,"Nov 21, 2020","Nov 30, 2020",9 days,3
Malacia,19/20,Hip injury,"Jul 1, 2020","Oct 3, 2020",94 days,7
Malacia,19/20,Ill,"Sep 4, 2019","Sep 11, 2019",7 days,8
Malacia,18/19,Knock,"Jan 1, 2019","Feb 23, 2019",53 days,12
Reguilón,22/23,Hamstring injury,"Feb 20, 2023","Mar 13, 2023",21 days,3
Reguilón,22/23,Pubalgia,"Aug 21, 2022","Oct 27, 2022",67 days,26
Reguilón,21/22,Groin problems,"Apr 30, 2022","Jun 30, 2022",61 days,5
Reguilón,21/22,Corona virus,"Feb 15, 2022","Feb 22, 2022",7 days,1
Reguilón,20/21,Muscle injury,"Jan 26, 2021","Feb 19, 2021",24 days,7
Reguilón,20/21,ankle sprain,"Sep 7, 2020","Sep 25, 2020",18 days,3
Reguilón,19/20,Right hip flexor problems,"Aug 2, 2019","Aug 8, 2019",6 days,-
Reguilón,18/19,Toe injury,"May 10, 2019","May 17, 2019",7 days,1
Reguilón,18/19,Knock,"Dec 4, 2018","Dec 17, 2018",13 days,4
Reguilón,18/19,Muscle injury,"Nov 12, 2018","Nov 30, 2018",18 days,6
Dalot,22/23,Hamstring injury,"Jan 11, 2023","Feb 2, 2023",22 days,6
Dalot,19/20,Groin injury,"Oct 18, 2019","Jan 2, 2020",76 days,23
Dalot,19/20,Knock,"Sep 20, 2019","Oct 2, 2019",12 days,3
Dalot,19/20,Hip injury,"Aug 4, 2019","Sep 17, 2019",44 days,9
Dalot,18/19,Knock,"Dec 9, 2018","Dec 15, 2018",6 days,1
Dalot,18/19,unknown injury,"Oct 17, 2018","Nov 30, 2018",44 days,15
Dalot,17/18,Meniscus injury,"Apr 28, 2018","Aug 30, 2018",124 days,7
Wan-Bissaka,23/24,Hamstring injury,"Sep 16, 2023","Oct 30, 2023",44 days,10
Wan-Bissaka,22/23,Back problems,"Sep 12, 2022","Oct 25, 2022",43 days,8
Wan-Bissaka,21/22,Ill,"Jan 14, 2022","Jan 23, 2022",9 days,3
Wan-Bissaka,21/22,Hand injury,"Nov 29, 2021","Dec 4, 2021",5 days,1
Wan-Bissaka,19/20,Back injury,"Mar 2, 2020","Mar 7, 2020",5 days,1
Wan-Bissaka,19/20,Tonsillitis,"Sep 27, 2019","Oct 19, 2019",22 days,3
Wan-Bissaka,19/20,Back injury,"Sep 3, 2019","Sep 13, 2019",10 days,-
Wan-Bissaka,18/19,Hamstring injury,"Feb 10, 2019","Mar 2, 2019",20 days,4
Wan-Bissaka,18/19,Shoulder injury,"Nov 11, 2018","Nov 23, 2018",12 days,2
Casemiro,23/24,Knock,"Oct 13, 2023",-,45 days,8
Casemiro,21/22,muscular problems,"Apr 19, 2022","Apr 25, 2022",6 days,1
Casemiro,21/22,Stomach flu,"Feb 5, 2022","Feb 11, 2022",6 days,1
Casemiro,21/22,infection,"Oct 4, 2021","Oct 16, 2021",12 days,3
Casemiro,20/21,Corona virus,"Nov 7, 2020","Nov 22, 2020",15 days,4
Casemiro,18/19,ankle sprain,"Nov 12, 2018","Dec 17, 2018",35 days,9
Casemiro,17/18,stomach problems,"Feb 26, 2018","Feb 28, 2018",2 days,1
Casemiro,16/17,Fracture of fibula shaft,"Sep 19, 2016","Nov 25, 2016",67 days,17
Casemiro,15/16,muscular problems,"May 2, 2016","May 8, 2016",6 days,2
Casemiro,15/16,minor knock,"Apr 14, 2016","Apr 18, 2016",4 days,1
Casemiro,14/15,Ankle sprain,"Sep 25, 2014","Oct 16, 2014",21 days,5
Amrabat,23/24,unknown injury,"Aug 21, 2023","Sep 20, 2023",30 days,5
Amrabat,22/23,Rest,"May 20, 2023","May 22, 2023",2 days,1
Amrabat,22/23,Rest,"May 2, 2023","May 5, 2023",3 days,3
Amrabat,22/23,Lumbago,"Apr 16, 2023","Apr 21, 2023",5 days,2
Amrabat,22/23,Back problems,"Nov 1, 2022","Nov 5, 2022",4 days,1
Amrabat,21/22,influenza,"Mar 17, 2022","Mar 21, 2022",4 days,1
Amrabat,21/22,Pubalgia,"Jul 14, 2021","Aug 23, 2021",40 days,2
Amrabat,20/21,Bruised back,"Mar 7, 2021","Mar 21, 2021",14 days,3
Amrabat,19/20,Muscle fatigue,"Jul 4, 2020","Jul 7, 2020",3 days,1
Amrabat,18/19,Muscle strain,"Apr 26, 2019","Apr 30, 2019",4 days,1
Amrabat,18/19,muscular problems,"Dec 25, 2018","Dec 29, 2018",4 days,1
Amrabat,18/19,Knock,"Dec 13, 2018","Dec 16, 2018",3 days,1
Amrabat,18/19,Ankle injury,"Sep 27, 2018","Oct 8, 2018",11 days,3
Amrabat,16/17,Ankle injury,"Feb 7, 2017","Feb 23, 2017",16 days,2
McTominay,22/23,unknown injury,"Apr 9, 2023","May 17, 2023",38 days,9
McTominay,22/23,unknown injury,"Jan 27, 2023","Feb 18, 2023",22 days,6
McTominay,21/22,Foot injury,"Apr 6, 2022","Apr 18, 2022",12 days,2
McTominay,21/22,Ill,"Feb 22, 2022","Mar 2, 2022",8 days,2
McTominay,21/22,Groin injury,"Aug 26, 2021","Sep 16, 2021",21 days,3
McTominay,20/21,Knock,"Feb 18, 2021","Feb 26, 2021",8 days,3
McTominay,20/21,bruise,"Nov 22, 2020","Dec 1, 2020",9 days,2
McTominay,19/20,Knee injury,"Dec 27, 2019","Feb 22, 2020",57 days,13
McTominay,19/20,Knee injury,"Nov 11, 2019","Dec 4, 2019",23 days,6
McTominay,18/19,bruise,"Dec 9, 2018","Jan 4, 2019",26 days,6
McTominay,18/19,Knee injury,"Oct 7, 2018","Nov 2, 2018",26 days,5
van de Beek,22/23,Knee collateral ligament strain,"Jan 3, 2023","Jun 30, 2023",178 days,38
van de Beek,22/23,Shingles,"Sep 3, 2022","Oct 24, 2022",51 days,10
van de Beek,21/22,Thigh problems,"Apr 21, 2022","May 16, 2022",25 days,5
van de Beek,21/22,Thigh problems,"Mar 31, 2022","Apr 11, 2022",11 days,3
van de Beek,21/22,Groin injury,"Jun 7, 2021","Jul 12, 2021",35 days,-
van de Beek,20/21,Muscle injury,"Mar 1, 2021","Mar 15, 2021",14 days,4
van de Beek,19/20,Hamstring injury,"Aug 22, 2019","Sep 23, 2019",32 days,7
van de Beek,18/19,Groin injury,"May 31, 2018","Jul 2, 2018",32 days,1
Mainoo,23/24,Ankle injury,"Jul 27, 2023","Oct 22, 2023",87 days,17
Fernandes,21/22,Ill,"Mar 12, 2022","Mar 14, 2022",2 days,1
Fernandes,18/19,Leg injury,"Mar 19, 2019","Mar 29, 2019",10 days,2
Fernandes,16/17,flu,"Jan 5, 2017","Jan 7, 2017",2 days,1
Mount,23/24,unknown injury,"Nov 24, 2023",-,3 days,1
Mount,23/24,unknown injury,"Aug 19, 2023","Sep 25, 2023",37 days,6
Mount,22/23,Pelvic injury,"Apr 25, 2023","May 31, 2023",36 days,7
Mount,22/23,Pelvic contusion,"Feb 28, 2023","Apr 3, 2023",34 days,5
Mount,22/23,Knock,"Jan 5, 2023","Jan 7, 2023",2 days,1
Mount,21/22,Ankle injury,"Feb 14, 2022","Feb 21, 2022",7 days,1
Mount,21/22,minor knock,"Sep 20, 2021","Sep 30, 2021",10 days,3
Mount,20/21,Quarantine,"Jun 21, 2021","Jun 28, 2021",7 days,1
Mount,19/20,Ankle injury,"Nov 7, 2019","Nov 7, 2019",0 days,-
Mount,19/20,Ankle injury,"Sep 19, 2019","Sep 23, 2019",4 days,1
Mount,18/19,Hamstring injury,"Jan 27, 2019","Mar 27, 2019",59 days,14
Mount,18/19,Ankle injury,"Nov 1, 2018","Nov 22, 2018",21 days,8
Eriksen,23/24,Knee injury,"Nov 11, 2023","Dec 11, 2023",30 days,6
Eriksen,22/23,Ankle injury,"Jan 29, 2023","Apr 6, 2023",67 days,18
Eriksen,20/21,heart problems,"Jun 13, 2021","Jan 31, 2022",232 days,?
Eriksen,19/20,Muscle strain,"Oct 16, 2019","Oct 21, 2019",5 days,1
Eriksen,18/19,Abdominal muscle strain,"Sep 22, 2018","Oct 20, 2018",28 days,8
Eriksen,15/16,Knee injury,"Aug 21, 2015","Sep 17, 2015",27 days,6
Eriksen,13/14,unknown injury,"Nov 16, 2013","Dec 10, 2013",24 days,6
Hannibal,21/22,Corona virus,"Jan 6, 2022","Jan 8, 2022",2 days,-
Rashford,22/23,Leg injury,"May 11, 2023","May 24, 2023",13 days,2
Rashford,22/23,Muscle injury,"Apr 8, 2023","Apr 19, 2023",11 days,3
Rashford,22/23,unknown injury,"Mar 19, 2023","Mar 31, 2023",12 days,3
Rashford,22/23,Muscle injury,"Sep 4, 2022","Sep 19, 2022",15 days,3
Rashford,21/22,bronchitis,"May 4, 2022","May 19, 2022",15 days,1
Rashford,21/22,horse kiss,"Jan 13, 2022","Jan 17, 2022",4 days,1
Rashford,21/22,Shoulder injury,"Jul 14, 2021","Oct 15, 2021",93 days,15
Rashford,20/21,Shoulder injury,"Nov 8, 2020","Nov 20, 2020",12 days,3
Rashford,19/20,Back injury,"Jan 16, 2020","Jun 5, 2020",141 days,13
Rashford,19/20,Hip injury,"Sep 22, 2019","Sep 30, 2019",8 days,3
Rashford,18/19,Ankle injury,"Mar 18, 2019","Mar 26, 2019",8 days,2
Sancho,22/23,depression,"Dec 26, 2022","Jan 31, 2023",36 days,10
Sancho,22/23,Ill,"Nov 1, 2022","Nov 14, 2022",13 days,4
Sancho,21/22,Tonsillitis,"Apr 26, 2022","May 8, 2022",12 days,3
Sancho,20/21,Torn muscle bundle,"Mar 3, 2021","Apr 19, 2021",47 days,12
Sancho,20/21,infection,"Sep 29, 2020","Oct 4, 2020",5 days,2
Sancho,18/19,infection,"Feb 4, 2019","Feb 6, 2019",2 days,1
Sancho,17/18,Ligament injury,"Feb 5, 2018","Mar 15, 2018",38 days,9
Sancho,17/18,Ligament stretching,"Dec 11, 2017","Jan 4, 2018",24 days,3
Sancho,17/18,Fitness,"Nov 23, 2017","Nov 27, 2017",4 days,1
Sancho,17/18,Fitness,"Aug 7, 2017","Sep 4, 2017",28 days,3
Garnacho,22/23,Ankle injury,"Mar 13, 2023","May 2, 2023",50 days,11
Antony,22/23,Leg injury,"Feb 5, 2023","Feb 20, 2023",15 days,4
Antony,22/23,unknown injury,"Oct 28, 2022","Nov 23, 2022",26 days,5
Antony,21/22,Ankle injury,"Mar 30, 2022","Jul 22, 2022",114 days,8
Antony,21/22,unknown injury,"Nov 23, 2021","Dec 1, 2021",8 days,2
Antony,20/21,Knock,"Mar 19, 2021","Apr 3, 2021",15 days,1
Antony,20/21,muscular problems,"Nov 9, 2020","Nov 24, 2020",15 days,1
Antony,20/21,Knock,"Oct 20, 2020","Oct 23, 2020",3 days,1
Diallo,23/24,Knee injury,"Aug 3, 2023",-,116 days,19
Diallo,23/24,Knee injury,"Aug 3, 2023",-,116 days,19
Diallo,21/22,unknown injury,"Mar 2, 2022","Mar 9, 2022",7 days,2
Diallo,21/22,Thigh problems,"Aug 28, 2021","Oct 8, 2021",41 days,11
Pellistri,22/23,Ankle injury,"Jul 30, 2022","Aug 31, 2022",32 days,4
Pellistri,21/22,Ankle injury,"Feb 3, 2022","Feb 11, 2022",8 days,1
Pellistri,21/22,Corona virus,"Jan 1, 2022","Jan 7, 2022",6 days,1
Pellistri,20/21,muscular problems,"Apr 22, 2021","May 6, 2021",14 days,2
Pellistri,20/21,Muscle injury,"Apr 7, 2021","Apr 14, 2021",7 days,1
Pellistri,20/21,Corona virus,"Jan 7, 2021","Jan 25, 2021",18 days,5
Pellistri,20/21,Muscle injury,"Aug 21, 2020","Aug 26, 2020",5 days,1
Højlund,23/24,Hamstring strain,"Nov 11, 2023","Nov 30, 2023",19 days,3
Højlund,23/24,Back injury,"Aug 1, 2023","Aug 31, 2023",30 days,5
Højlund,22/23,Adductor pain,"May 3, 2023","May 12, 2023",9 days,2
Martial,22/23,Hip injury,"Feb 2, 2023","Mar 8, 2023",34 days,9
Martial,22/23,unknown injury,"Jan 14, 2023","Jan 30, 2023",16 days,5
Martial,22/23,Back injury,"Oct 10, 2022","Oct 31, 2022",21 days,6
Martial,22/23,Achilles tendon irritation,"Aug 23, 2022","Sep 26, 2022",34 days,5
Martial,22/23,Hamstring injury,"Jul 31, 2022","Aug 18, 2022",18 days,2
Martial,21/22,Muscle injury,"Feb 21, 2022","Mar 9, 2022",16 days,3
Martial,21/22,Knee injury,"Dec 4, 2021","Dec 13, 2021",9 days,3
Martial,21/22,Fitness,"Oct 15, 2021","Oct 29, 2021",14 days,3
Martial,20/21,Torn knee ligaments,"Mar 29, 2021","Aug 2, 2021",126 days,14
Martial,20/21,Hip injury,"Mar 11, 2021","Mar 20, 2021",9 days,3
Martial,19/20,Hamstring strain,"Aug 25, 2019","Oct 20, 2019",56 days,9
Martial,18/19,influenza,"Apr 29, 2019","May 11, 2019",12 days,1
Martial,18/19,Knee injury,"Mar 18, 2019","Mar 29, 2019",11 days,-
Martial,18/19,Groin strain,"Feb 13, 2019","Mar 10, 2019",25 days,6
Martial,18/19,influenza,"Jan 26, 2019","Feb 2, 2019",7 days,1
Martial,18/19,Ill,"Dec 23, 2018","Dec 30, 2018",7 days,2
Martial,19/20,Hamstring injury,"Dec 6, 2018","Dec 14, 2018",8 days,2
Martial,19/20,muscular problems,"Aug 21, 2018","Aug 31, 2018",10 days,1
Martial,17/18,Thigh problems,"Feb 26, 2018","Mar 12, 2018",14 days,2
Martial,16/17,Head injury,"Sep 19, 2016","Sep 26, 2016",7 days,2
Martial,15/16,Hamstring injury,"Feb 22, 2016","Feb 29, 2016",7 days,3
Martial,13/14,Ankle sprain,"Dec 19, 2013","Jan 23, 2014",35 days,6
Vicario,23/24,Fever,"Nov 15, 2023","Nov 19, 2023",4 days,1
Vicario,22/23,Chest injury,"Mar 3, 2023","Apr 29, 2023",57 days,9
Vicario,18/19,Finger injury,"Jul 23, 2018","Aug 31, 2018",39 days,2
Lloris,22/23,Thigh problems,"Apr 24, 2023","Oct 2, 2023",161 days,14
Lloris,22/23,Knee injury,"Feb 6, 2023","Mar 22, 2023",44 days,9
Lloris,20/21,Knock,"Nov 30, 2020","Dec 5, 2020",5 days,1
Lloris,20/21,Knock,"Nov 22, 2020","Nov 28, 2020",6 days,1
Lloris,19/20,Groin strain,"Feb 23, 2020","Mar 6, 2020",12 days,2
Lloris,19/20,Elbow injury,"Oct 6, 2019","Jan 18, 2020",104 days,25
Lloris,18/19,Muscle injury,"Apr 18, 2019","Apr 23, 2019",5 days,2
Lloris,18/19,Hamstring strain,"Aug 28, 2018","Oct 2, 2018",35 days,8
Lloris,17/18,Hip flexor problems,"Nov 2, 2017","Nov 16, 2017",14 days,3
Lloris,16/17,Hamstring injury,"Aug 15, 2016","Sep 15, 2016",31 days,6
Lloris,15/16,Shoulder injury,"Feb 15, 2016","Feb 25, 2016",10 days,3
Lloris,15/16,Broken hand,"Jul 13, 2015","Aug 3, 2015",21 days,-
Lloris,14/15,Knee injury,"Mar 23, 2015","Apr 23, 2015",31 days,5
Forster,23/24,Back problems,"Jul 10, 2023","Aug 27, 2023",48 days,3
Forster,21/22,unknown injury,"Dec 2, 2021","Dec 25, 2021",23 days,3
Forster,16/17,Abdominal muscle strain,"Nov 7, 2016","Nov 18, 2016",11 days,3
Forster,14/15,Patellar tendon rupture,"Mar 24, 2015","Jan 5, 2016",287 days,45
Whiteman,23/24,Ankle injury,"Aug 3, 2023",-,116 days,14
Romero,22/23,Hamstring injury,"Oct 28, 2022","Nov 19, 2022",22 days,6
Romero,22/23,Adductor pain,"Aug 18, 2022","Sep 2, 2022",15 days,3
Romero,21/22,Hip problems,"May 12, 2022","May 26, 2022",14 days,3
Romero,21/22,Hamstring injury,"Nov 17, 2021","Feb 5, 2022",80 days,18
Romero,21/22,Quarantine,"Sep 9, 2021","Sep 17, 2021",8 days,3
Romero,21/22,Knee injury,"Aug 20, 2021","Aug 25, 2021",5 days,1
Romero,21/22,Knee injury,"Jun 23, 2021","Jul 10, 2021",17 days,3
Romero,20/21,muscular problems,"Jun 10, 2021","Jun 15, 2021",5 days,1
Romero,20/21,Corona virus,"Jan 29, 2021","Feb 2, 2021",4 days,1
Romero,19/20,Adductor pain,"Jul 6, 2020","Jul 17, 2020",11 days,3
Romero,19/20,Knee injury,"Feb 3, 2020","Feb 26, 2020",23 days,3
van de Ven,23/24,Hamstring injury,"Nov 6, 2023","Dec 31, 2023",55 days,10
van de Ven,21/22,Hamstring injury,"Feb 7, 2022","Apr 24, 2022",76 days,12
van de Ven,21/22,Ill,"Aug 19, 2021","Aug 31, 2021",12 days,-
van de Ven,21/22,Knee injury,"Aug 5, 2021","Aug 18, 2021",13 days,2
van de Ven,20/21,Rest,"May 11, 2021","May 13, 2021",2 days,1
van de Ven,20/21,Ill,"Jan 29, 2021","Feb 22, 2021",24 days,2
van de Ven,20/21,Foot injury,"Sep 3, 2020","Oct 26, 2020",53 days,12
Dier,21/22,Thigh problems,"Feb 4, 2022","Feb 15, 2022",11 days,3
Dier,21/22,Thigh problems,"Jan 3, 2022","Jan 20, 2022",17 days,4
Dier,20/21,Muscle strain,"Oct 13, 2020","Oct 25, 2020",12 days,3
Dier,19/20,Hip problems,"Aug 30, 2019","Sep 12, 2019",13 days,3
Dier,18/19,Hip injury,"Mar 22, 2019","Apr 20, 2019",29 days,7
Dier,18/19,Virus,"Feb 3, 2019","Mar 8, 2019",33 days,6
Dier,18/19,Appendectomy,"Dec 16, 2018","Jan 20, 2019",35 days,9
Dier,18/19,Hamstring strain,"Oct 29, 2018","Nov 9, 2018",11 days,4
Dier,18/19,Calf strain,"Aug 12, 2018","Aug 17, 2018",5 days,-
Dier,16/17,unknown injury,"Sep 18, 2016","Oct 2, 2016",14 days,5
Dier,13/14,Stomach flu,"Oct 10, 2013","Oct 21, 2013",11 days,7
Dier,13/14,muscular problems,"Aug 5, 2013","Aug 15, 2013",10 days,2
Dier,13/14,Thigh problems,"Jul 11, 2013","Jul 18, 2013",7 days,-
Phillips,23/24,Ankle injury,"Nov 24, 2023",-,3 days,1
Udogie,23/24,Muscle injury,"Oct 23, 2023","Nov 4, 2023",12 days,2
Udogie,22/23,unknown injury,"May 4, 2023","May 7, 2023",3 days,1
Udogie,22/23,Muscle injury,"Nov 4, 2022","Jan 1, 2023",58 days,7
Udogie,21/22,unknown injury,"Jun 2, 2022","Jun 15, 2022",13 days,7
Udogie,21/22,Calf problems,"Apr 10, 2022","Apr 15, 2022",5 days,1
Udogie,21/22,muscular problems,"Feb 13, 2022","Feb 20, 2022",7 days,2
Udogie,21/22,unknown injury,"Jan 1, 2022","Jan 8, 2022",7 days,-
Udogie,21/22,Muscle fatigue,"Nov 10, 2021","Nov 18, 2021",8 days,4
Udogie,21/22,Calf problems,"Sep 8, 2021","Sep 23, 2021",15 days,3
Udogie,20/21,Muscle fatigue,"May 1, 2021","May 21, 2021",20 days,4
Davies,23/24,Knock,"Oct 27, 2023","Nov 9, 2023",13 days,2
Davies,23/24,Knock,"Oct 22, 2023","Oct 26, 2023",4 days,1
Davies,22/23,Knee injury,"Sep 15, 2022","Oct 3, 2022",18 days,7
Davies,21/22,Hamstring strain,"Mar 28, 2022","Mar 31, 2022",3 days,3
Davies,21/22,Ill,"Oct 4, 2021","Oct 11, 2021",7 days,3
Davies,20/21,Shin injury,"Mar 22, 2021","May 31, 2021",70 days,14
Davies,19/20,Ankle injury,"Nov 21, 2019","Feb 10, 2020",81 days,19
Davies,19/20,Groin injury,"Aug 8, 2019","Aug 19, 2019",11 days,2
Davies,18/19,Groin strain,"Jan 24, 2019","Feb 25, 2019",32 days,7
Davies,17/18,Ill,"Oct 9, 2017","Oct 23, 2017",14 days,6
Davies,16/17,Ankle injury,"Oct 31, 2016","Dec 12, 2016",42 days,9
Davies,15/16,Head injury,"Mar 17, 2016","Mar 24, 2016",7 days,5
Davies,14/15,Shoulder injury,"Apr 27, 2015","Jul 2, 2015",66 days,5
Davies,13/14,muscle stiffness,"Feb 20, 2014","Feb 27, 2014",7 days,3
Davies,13/14,ankle sprain,"Oct 21, 2013","Nov 4, 2013",14 days,3
Porro,22/23,Knock,"Sep 22, 2022","Oct 9, 2022",17 days,5
Porro,21/22,minor knock,"Mar 17, 2022","Mar 31, 2022",14 days,3
Porro,21/22,Muscle injury,"Dec 13, 2021","Jan 27, 2022",45 days,9
Porro,21/22,Muscle injury,"Nov 4, 2021","Nov 15, 2021",11 days,3
Porro,21/22,Knee bruise,"Jul 15, 2021","Aug 9, 2021",25 days,2
Porro,20/21,Muscle injury,"May 13, 2021","May 31, 2021",18 days,2
Porro,20/21,muscular problems,"May 3, 2021","May 10, 2021",7 days,1
Porro,20/21,minor knock,"Mar 4, 2021","Mar 11, 2021",7 days,1
Porro,20/21,Ill,"Jun 18, 2020","Jul 20, 2020",32 days,-
Porro,19/20,Muscle injury,"Oct 3, 2019","Oct 17, 2019",14 days,5
Porro,18/19,Muscle injury,"Jun 10, 2019","Jul 11, 2019",31 days,5
Emerson Royal,21/22,unknown injury,"Dec 3, 2021","Dec 13, 2021",10 days,2
Emerson Royal,20/21,Knee bruise,"Oct 4, 2020","Oct 31, 2020",27 days,4
Højbjerg,19/20,Ankle injury,"Jun 26, 2020","Jul 8, 2020",12 days,2
Højbjerg,18/19,concussion,"Jan 31, 2019","Feb 8, 2019",8 days,1
Højbjerg,18/19,Ill,"Oct 26, 2018","Nov 3, 2018",8 days,1
Højbjerg,16/17,Knock,"Nov 13, 2016","Nov 18, 2016",5 days,1
Højbjerg,14/15,cold,"Apr 29, 2015","Apr 29, 2015",0 days,-
Højbjerg,14/15,cold,"Apr 21, 2015","Apr 23, 2015",2 days,-
Højbjerg,14/15,Ankle problems,"Mar 26, 2015","Apr 1, 2015",6 days,3
Højbjerg,14/15,influenza,"Mar 5, 2015","Mar 10, 2015",5 days,1
Højbjerg,14/15,bruise,"Feb 16, 2015","Feb 19, 2015",3 days,-
Højbjerg,13/14,Outer ligament problems,"Aug 5, 2013","Sep 23, 2013",49 days,15
Skipp,22/23,Foot injury,"Jul 18, 2022","Aug 29, 2022",42 days,9
Skipp,21/22,Inflammation of pubic bone,"Feb 5, 2022","Jun 30, 2022",145 days,33
Skipp,19/20,Hip injury,"Nov 9, 2019","Dec 4, 2019",25 days,9
Bentancur,22/23,Cruciate ligament tear,"Feb 12, 2023","Oct 24, 2023",254 days,36
Bentancur,22/23,Adductor pain,"Dec 3, 2022","Jan 16, 2023",44 days,5
Bentancur,22/23,Head injury,"Aug 28, 2022","Sep 1, 2022",4 days,2
Bentancur,21/22,Back problems,"May 23, 2022","Jun 13, 2022",21 days,3
